CRN;Course;Session;Title;Instructor;Time/Location;Credits
20331;ANTH 200 002;Full Term;INTRO TO STUDY OF LANGUAGE;Durian, David C.;9:25AM - 10:40AM TR HRG 10028-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room;3
24707;ANTH 201 001;Full Term;INTRO TO SOCIAL/CULTURAL ANTH;Wool, Zoe H.;9:25AM - 10:40AM TR RZR 12328-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
25453;ANTH 299 001;Full Term;EXPERIENTIAL EDUCATION IN ANTH;Wool, Zoe H.;TBA TBANo Final Exam;1
24489;ANTH 301 001;Full Term;PHONETICS;Durian, David C.;10:50AM - 12:05PM TR HUM 11926-APR-2018 9:00AM - 12:00PM R TBA TBATake-Home Exam;3
24708;ANTH 317 001;Full Term;REVOLUTIONS AND UTOPIAS;Boyer, Dominic C.;2:30PM - 5:00PM T DCC 1132-MAY-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
24710;ANTH 345 001;Full Term;ARCHAEOLOGY IN SOCIAL CONTEXT;McIntosh, Susan K.;2:30PM - 3:45PM TR GRB W21230-APR-2018 2:00PM - 5:00PM M TBA TBANo Final Exam;3
24711;ANTH 362 001;Full Term;ARCHAEOLOGICAL FLD TECHNIQUES;Fleisher, Jeffrey B.;2:00PM - 4:30PM W SEW 10328-APR-2018 2:00PM - 5:00PM S TBA TBANo Final Exam;3
24713;ANTH 363 001;Full Term;EARLY CIVILIZATIONS;Morgan, Molly;1:00PM - 1:50PM MWF SEW 5601-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
24104;ANTH 365 002;Full Term;POLITICS OF REPRESENTATION;Sharim, Yehuda;2:00PM - 3:15PM MW SEW 3071-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;3
24105;ANTH 376 002;Full Term;ART AND ACTIVISM;Sharim, Yehuda;4:00PM - 5:15PM MW SEW 56028-APR-2018 7:00PM - 10:00PM S TBA TBAScheduled Final Exam-OTR Room;3
25036;ANTH 396 001;Full Term;LAW AND RESISTANCE;Werth, Robert J.Ballestero, Andrea;2:00PM - 3:15PM MW RZR 1191-MAY-2018 2:00PM - 5:00PM T TBA TBAScheduled Final Exam-OTR Room;3
25020;ANTH 397 001;Full Term;ANTHROPOLOGY JOURNAL CLUB;Wool, Zoe H.Ballestero, Andrea;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1
20758;ANTH 404 002;Full Term;INDEPENDENT STUDY;Faubion, James D.;TBA TBANo Final Exam;1 TO 9
20201;ANTH 404 003;Full Term;INDEPENDENT STUDY;Georges, Eugenia;TBA TBANo Final Exam;1 TO 9
22022;ANTH 404 004;Full Term;INDEPENDENT STUDY;Howe, Alyssa C.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 9
23454;ANTH 404 005;Full Term;INDEPENDENT STUDY;Ballestero, Andrea;TBA TBANo Final Exam;1 TO 9
21519;ANTH 404 006;Full Term;INDEPENDENT STUDY;McIntosh, Susan K.;TBA TBANo Final Exam;1 TO 9
22023;ANTH 404 007;Full Term;INDEPENDENT STUDY;Wool, Zoe H.;TBA TBANo Final Exam;1 TO 9
22024;ANTH 404 008;Full Term;INDEPENDENT STUDY;Boyer, Dominic C.;TBA TBANo Final Exam;1 TO 9
25525;ANTH 404 009;Full Term;INDEPENDENT STUDY;Mitchell, Beverly M.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 9
20762;ANTH 404 010;Full Term;INDEPENDENT STUDY;Fleisher, Jeffrey B.;TBA TBANo Final Exam;1 TO 9
25019;ANTH 451 001;Full Term;THE ANTHROPOLOGY OF WATER;Ballestero, Andrea;3:30PM - 6:00PM T SEW 5622-MAY-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
