CRN,Course,Session,Title,Instructor(s),Schedule,Credits
25493,BIOE 007 001,2nd Half of Full Term,VISITING RESEARCH,Richards-Kortum, Rebecca R., TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,0
25510,BIOE 007 002,1st Half of Full Term,VISITING RESEARCH,Veiseh, Omid, TBA TBANo Final Exam,0
25515,BIOE 007 003,2nd Half of Full Term,VISITING RESEARCH,Veiseh, Omid, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,0
25529,BIOE 007 004,1st Half of Full Term,VISITING RESEARCH,Richards-Kortum, Rebecca R., TBA TBANo Final Exam,0
25383,BIOE 202 001,Full Term,CAREERS IN BIOENGINEERING,Ramos, Renata F.,1:00PM - 1:50PM F BRC 28525-APR-2018  2:00PM - 5:00PM W TBA TBANo Final Exam,1
20178,BIOE 320 001,Full Term,SYSTEMS PHYSIOLOGY LAB MODULE,Ramos, Renata F.,1:00PM - 3:50PM M TBA TBA1-MAY-2018  9:00AM - 12:00PM T TBA TBANo Final Exam,1
21781,BIOE 320 002,Full Term,SYSTEMS PHYSIOLOGY LAB MODULE,Ramos, Renata F.,1:00PM - 3:50PM T TBA TBA27-APR-2018  9:00AM - 12:00PM F TBA TBANo Final Exam,1
20179,BIOE 320 003,Full Term,SYSTEMS PHYSIOLOGY LAB MODULE,Ramos, Renata F.,1:00PM - 3:50PM R TBA TBA25-APR-2018  2:00PM - 5:00PM W TBA TBANo Final Exam,1
20951,BIOE 321 001,Full Term,CELLULAR ENGINEERING,Diehl, Michael R.,2:30PM - 3:45PM TR BRC 28530-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
21496,BIOE 322 001,Full Term,FUND OF SYSTEMS PHYSIOLOGY,Abidi, Sabia Z.,11:00AM - 12:15PM MWF BRC 28225-APR-2018  9:00AM - 12:00PM W TBA TBANo Final Exam,3
20180,BIOE 330 001,Full Term,BIOREACTION ENGINEERING,Veiseh, Omid,10:50AM - 12:05PM TR BRC 28226-APR-2018  9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20181,BIOE 332 001,Full Term,BIOENGINEERING THERMODYNAMICS,Tabor, Jeffrey,10:00AM - 10:50AM MWF BRC 28230-APR-2018  9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room,3
20513,BIOE 342 001,1st Half of Full Term,LABORATORY IN TISSUE CULTURE,Ghosn, Bilal,1:00PM - 5:50PM MW KCK 1082:00PM - 2:50PM F KCK 107Scheduled Final Exam-Dept Room,1
20515,BIOE 342 002,1st Half of Full Term,LABORATORY IN TISSUE CULTURE,Ghosn, Bilal,1:00PM - 5:50PM TR KCK 1082:00PM - 2:50PM F KCK 107No Final Exam,1
20525,BIOE 360 001,Full Term,APPRO DESIGN FOR GLOBAL HEALTH,Bond, Meaghan M.,1:00PM - 2:15PM TR BRC 28427-APR-2018  9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room,3
22672,BIOE 365 001,Full Term,SUST WTR PURIF FOR DEV WORLD,Loyo Rosales, Jorge E.,11:00AM - 12:15PM MW OED 114No Final Exam,3
20182,BIOE 372 001,Full Term,BIOMECHANICS,Levine, Herbert,9:25AM - 10:40AM TR BRC 28228-APR-2018  9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room,3
20299,BIOE 391 001,Full Term,NUMERICAL METHODS,Bao, Gang,9:00AM - 9:50AM MW BRC 2829:00AM - 9:50AM F BRC 28226-APR-2018  2:00PM - 5:00PM R TBA TBANo Final Exam,3
20183,BIOE 400 001,Full Term,ENGINEERING UG RESEARCH,San, Ka-Yiu, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
23224,BIOE 401 002,Full Term,UNDERGRADUATE RESEARCH,San, Ka-Yiu, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
25530,BIOE 401 003,Full Term,UNDERGRADUATE RESEARCH,San, Ka-Yiu, TBA TBA2-MAY-2018  7:00PM - 10:00PM W TBA TBANo Final Exam,1 TO 4
21321,BIOE 422 001,Full Term,GENE THERAPY,Suh, Junghae,2:30PM - 3:45PM TR BRC 28630-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,3
20187,BIOE 440 001,2nd Half of Full Term,STATISTICS FOR BIOENGINEERING,Ghosn, Bilal,1:00PM - 1:50PM MWF AEL B2091-MAY-2018  9:00AM - 12:00PM T TBA TBANo Final Exam,1
20184,BIOE 444 001,2nd Half of Full Term,MECHANICAL TESTING LAB MODULE,Ramos, Renata F.,1:00PM - 5:50PM M TBA TBA1-MAY-2018  9:00AM - 12:00PM T TBA TBANo Final Exam,1
20685,BIOE 444 002,2nd Half of Full Term,MECHANICAL TESTING LAB MODULE,Ramos, Renata F.,1:00PM - 5:50PM T TBA TBAScheduled Final Exam-Dept Room,1
25320,BIOE 447 002,2nd Half of Full Term,DIG DES & VIS,Ghosn, Bilal,2:00PM - 6:00PM TR TBA TBA30-APR-2018  2:00PM - 5:00PM M TBA TBANo Final Exam,1
20490,BIOE 452 001,Full Term,BIOENGINEERING DESIGN II,Richardson, Eric S.,8:30AM - 9:50AM MWF HRG 10026-APR-2018  2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room,3
20542,BIOE 484 001,Full Term,BIOPHOTONICS INSTRUMENTATION,Tkaczyk, Tomasz,1:00PM - 2:15PM TR BRC 28527-APR-2018  9:00AM - 12:00PM F TBA TBANo Final Exam,3
24884,BIOE 486 001,Full Term,FUND MEDICAL IMAGING II,Mawlawi, Osama,4:00PM - 6:50PM R BRC 28527-APR-2018  2:00PM - 5:00PM F TBA TBATake-Home Exam,3
21054,BIOE 492 001,Full Term,SENSORY NEUROENGINEERING,Raphael, Robert M.,2:30PM - 3:50PM MW BRC 2841-MAY-2018  2:00PM - 5:00PM T TBA TBANo Final Exam,3
20185,BIOE 500 001,Full Term,GRADUATE RESEARCH,Raphael, Robert M., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23197,BIOE 500 002,Full Term,GRADUATE RESEARCH,Deem, Michael W., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23198,BIOE 500 003,Full Term,GRADUATE RESEARCH,Diehl, Michael R., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23199,BIOE 500 004,Full Term,GRADUATE RESEARCH,Drezek, Rebekah A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23200,BIOE 500 005,Full Term,GRADUATE RESEARCH,Grande-Allen, Kathryn J., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23201,BIOE 500 006,Full Term,GRADUATE RESEARCH,Igoshin, Oleg, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23203,BIOE 500 008,Full Term,GRADUATE RESEARCH,, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23204,BIOE 500 009,Full Term,GRADUATE RESEARCH,Levine, Herbert, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23205,BIOE 500 010,Full Term,GRADUATE RESEARCH,Ma, Jianpeng, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23206,BIOE 500 011,Full Term,GRADUATE RESEARCH,Mikos, Antonios G., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23207,BIOE 500 012,Full Term,GRADUATE RESEARCH,Miller, Jordan S., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23208,BIOE 500 013,Full Term,GRADUATE RESEARCH,Qutub, Amina A., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23209,BIOE 500 014,Full Term,GRADUATE RESEARCH,Bao, Gang, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23210,BIOE 500 015,Full Term,GRADUATE RESEARCH,Richards-Kortum, Rebecca R., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23211,BIOE 500 016,Full Term,GRADUATE RESEARCH,San, Ka-Yiu, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23212,BIOE 500 017,Full Term,GRADUATE RESEARCH,Suh, Junghae, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23213,BIOE 500 018,Full Term,GRADUATE RESEARCH,Tabor, Jeffrey, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23214,BIOE 500 019,Full Term,GRADUATE RESEARCH,Tkaczyk, Tomasz, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
23215,BIOE 500 020,Full Term,GRADUATE RESEARCH,Zhang, David Y., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24309,BIOE 500 021,Full Term,GRADUATE RESEARCH,Pasquali, Matteo, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
24310,BIOE 500 022,Full Term,GRADUATE RESEARCH,Robinson, Jacob T., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25439,BIOE 500 023,Full Term,GRADUATE RESEARCH,Veiseh, Omid, TBA TBAGR Course-Dept Schedules Exam,1 TO 15
25520,BIOE 500 024,Full Term,GRADUATE RESEARCH,Hartgerink, Jeffrey D., TBA TBAGR Course-Dept Schedules Exam,1 TO 15
20618,BIOE 506 001,Full Term,GRADUATE INDEPENDENT STUDY,Richardson, Eric S., TBA TBAGR Course-Dept Schedules Exam,1 TO 6
24415,BIOE 506 002,Full Term,GRADUATE INDEPENDENT STUDY,Raphael, Robert M., TBA TBAGR Course-Dept Schedules Exam,1 TO 6
25560,BIOE 506 003,2nd Half of Full Term,GRADUATE INDEPENDENT STUDY,Igoshin, Oleg, TBA TBAGR Course-Dept Schedules Exam,1 TO 6
20848,BIOE 512 001,Full Term,BIOPHOTONICS INSTRUMENTATION,Tkaczyk, Tomasz,1:00PM - 2:15PM TR BRC 285GR Course-Dept Schedules Exam,3
20953,BIOE 518 001,Full Term,INTRO TO COMPUTATION BIOLOGY,Igoshin, Oleg,9:25AM - 10:40AM TR BRC 284GR Course-Dept Schedules Exam,3
20952,BIOE 519 001,Full Term,BIOMATERIALS SYNTHESIS,Miller, Jordan S.,3:30PM - 4:50PM MW BRC 282GR Course-Dept Schedules Exam,3
21322,BIOE 522 001,Full Term,GENE THERAPY,Suh, Junghae,2:30PM - 3:45PM TR BRC 286GR Course-Dept Schedules Exam,3
21783,BIOE 529 001,Full Term,MEDICAL TECHNOLOGY DESIGN 2,Richardson, Eric S.,10:50AM - 12:05PM TR TBA TBAGR Course-Dept Schedules Exam,3
21784,BIOE 530 001,Full Term,MEDICAL TECH IMPLEMENTATION 2,Richardson, Eric S.,12:30PM - 1:45PM MR TBA TBAGR Course-Dept Schedules Exam,3
20853,BIOE 560 001,Full Term,CANCER BIOLOGY,Papadopoulos, Pamela C.,8:00AM - 9:15AM TR BRC 2821-MAY-2018  7:00PM - 10:00PM T TBA TBAGR Course-Dept Schedules Exam,3
