CRN;Course;Session;Title;Instructor;Time/Location;Credits
24787;ARAB 142 001;Full Term;FIRST YEAR ARABIC II;Al-Maqtari, Ali A.;6:00PM - 7:15PM TR RZR 20526-APR-2018 7:00PM - 10:00PM R TBA TBAScheduled Final Exam-OTR Room;3
21260;ARTS 165 0F1;Full Term;BEGINNING SCULPTURE;Moorhead, Katrina L.;1:00PM - 3:50PM TR SEW 25427-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
25406;ARTS 165 0F2;Full Term;BEGINNING SCULPTURE;Moorhead, Katrina L.;9:00AM - 11:50AM TR SEW 25428-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
20283;ARTS 225 0F1;Full Term;BEGINNING DRAWING;Moorhead, Katrina L.;6:00PM - 8:50PM TR SEW 41326-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;3
24041;ARTS 225 0F2;Full Term;BEGINNING DRAWING;Fuqua, Kariann;1:00PM - 3:50PM TR SEW 41327-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
24950;ARTS 225 0F4;Full Term;BEGINNING DRAWING;Sperandio, Christopher J.;9:00AM - 11:50AM TR SEW 40528-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
25069;ARTS 230 001;Full Term;COMICS AND SEQUENTIAL ART;Sperandio, Christopher J.;1:00PM - 3:50PM TR SEW 40527-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
22534;ARTS 294 0F1;Full Term;JUNIOR FIELD TRIP;Sparagana, John L.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1
24951;ARTS 301 0F1;Full Term;BEGINNING PAINTING;Bowdoin, Natasha M.;9:00AM - 11:50AM MW SEW 5252-MAY-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
22611;ARTS 301 0F2;Full Term;BEGINNING PAINTING;Bowdoin, Natasha M.;1:00PM - 3:50PM MW SEW 5131-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
24952;ARTS 323 0F1;Full Term;DRAWING STUDIO;Broker, Karin;9:00AM - 11:50AM MW MCA 1152-MAY-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
24953;ARTS 325 0F1;Full Term;LIFE DRAWING;Bernstein, Joshua;9:00AM - 11:50AM TR SEW 41528-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
24954;ARTS 326 0F1;Full Term;COLLAGE;Fowler, William G.;1:00PM - 3:50PM MW SEW 4051-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
20532;ARTS 328 001;Full Term;FILMMAKING I;Huberman, Brian M.Stringer, Tish M.;2:30PM - 5:30PM R MED 10030-APR-2018 2:00PM - 5:00PM M TBA TBANo Final Exam;3
24917;ARTS 349 0F1;Full Term;PRINTMAKING STUDIO;Broker, Karin;1:00PM - 3:50PM MW SEW 2011-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
24955;ARTS 358 001;Full Term;MONSTER STUDIO;Bernstein, Joshua;9:00AM - 11:50AM F SEW 25429-APR-2018 2:00PM - 5:00PM U TBA TBANo Final Exam;3
24982;ARTS 401 001;Full Term;PAINTING STUDIO;Fowler, William G.;6:00PM - 8:50PM MW SEW 42526-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;3
21263;ARTS 432 001;Full Term;FILM GENRE: THE WESTERN;Huberman, Brian M.;7:00PM - 9:50PM T MED 10030-APR-2018 7:00PM - 10:00PM M TBA TBANo Final Exam;3
24119;ARTS 435 001;Full Term;SEMINAR ON FILM AUTHORSHIP;Dove, Charles;1:00PM - 4:50PM W MED 10026-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;4
20319;ARTS 460 001;Full Term;ADV COMPUTER GRAPHICS;Warren, Joe D.;2:00PM - 3:50PM M DCH Sym II Lab2:00PM - 2:50PM WF DCH Sym II LabScheduled Final Exam-OTR Room;4
20663;ARTS 499 001;Full Term;SENIOR STUDIO;Bernstein, Joshua;6:00PM - 8:50PM TR SEW 40126-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;3
23585;ASIA 218 001;Full Term;EAST/NORTHEAST ASIA FILM HIST;Barlow, Tani;7:00PM - 9:50PM M SEW 30130-APR-2018 7:00PM - 10:00PM M TBA TBANo Final Exam;3
25082;ASIA 316 001;Full Term;BUDDHISM IN BRITISH COLONIES;Barua, Deba M.;4:00PM - 5:15PM TR MEL 25427-APR-2018 2:00PM - 5:00PM F TBA TBAScheduled Final Exam-OTR Room;3
25083;ASIA 317 001;Full Term;ENVIRONMENT & SOCIETY IN CHINA;Galipeau, Brendan A.;2:30PM - 3:45PM TR MEL 25430-APR-2018 2:00PM - 5:00PM M TBA TBAScheduled Final Exam-OTR Room;3
25067;ASIA 322 001;Full Term;INTRODUCTION TO BUDDHISM;Cox, Simon P.Kelley, Justin J.;1:00PM - 2:15PM TR WSC 14627-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
24870;ASIA 328 001;Full Term;MOD GIRL & ASIA IN THE WORLD;Barlow, Tani;2:00PM - 3:15PM MW HNZ 2021-MAY-2018 2:00PM - 5:00PM T TBA TBANo Final Exam;3
25085;ASIA 330 001;Full Term;INTRO TO TRAD CHINESE POETRY;Qian, Nanxiu;1:00PM - 2:15PM TR RZR 30427-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;3
24132;ASIA 338 001;Full Term;BIOETHICS & INDIAN TRADITIONS;Donaldson, Brianne G.;10:50AM - 12:05PM TR MEL 25426-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;3
20713;ASIA 402 001;Full Term;INDEPENDENT STUDY;Ryang, Soon;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;1 TO 15
25084;ASIA 422 001;Full Term;ORIGINAL BEAUTY OF CHINESE LIT;Qian, Nanxiu;4:00PM - 6:50PM W RZR 3042-MAY-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
24746;ASIA 488 001;Full Term;ASIA AND ENERGY;Lewis, Steven W.;7:00PM - 9:50PM W BKH 1022-MAY-2018 2:00PM - 5:00PM W TBA TBAScheduled Final Exam-OTR Room;3
24747;ASIA 495 001;Full Term;ASIAN STUDIES RESEARCH SEM;Ryang, Soon;1:00PM - 3:30PM W MEL 25126-APR-2018 7:00PM - 10:00PM R TBA TBANo Final Exam;3
21868;CHIN 142 001;Full Term;FIRST YEAR CHINESE II;Yeh, Meng;9:00AM - 9:50AM MWF RZR 20226-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
21869;CHIN 142 002;Full Term;FIRST YEAR CHINESE II;Yeh, Meng;11:00AM - 11:50AM MWF HUM 32725-APR-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
24264;CHIN 142 003;Full Term;FIRST YEAR CHINESE II;Chien, Yi-Chia;1:00PM - 1:50PM MWF RZR 3041-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;3
20479;CHIN 212 001;Full Term;ACCEL ELEMENTARY CHINESE II;Chien, Yi-Chia;2:00PM - 2:50PM MWF RZR 30428-APR-2018 2:00PM - 5:00PM S TBA TBAScheduled Final Exam-OTR Room;3
21307;CHIN 264 001;Full Term;SECOND YEAR CHINESE II;Fu, Liang;10:00AM - 10:50AM MWF RZR 20230-APR-2018 9:00AM - 12:00PM M TBA TBAScheduled Final Exam-OTR Room;3
24265;CHIN 302 001;Full Term;THIRD YEAR CHINESE II;Fu, Liang;1:00PM - 1:50PM MWF RZR 2041-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;3
24788;CHIN 312 001;Full Term;ACCEL INTERMEDIATE CHINESE II;Fu, Liang;2:00PM - 2:50PM MWF RZR 20428-APR-2018 2:00PM - 5:00PM S TBA TBAScheduled Final Exam-OTR Room;3
25364;CHIN 330 001;Full Term;INTRO TO TRAD CHINESE POETRY;Qian, Nanxiu;1:00PM - 2:15PM TR RZR 30427-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;3
24789;CHIN 402 001;Full Term;FOURTH YEAR CHINESE II;Chien, Yi-Chia;9:00AM - 9:50AM MWF RZR 30426-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
25116;CHIN 422 001;Full Term;ORIGINAL BEAUTY OF CHINESE LIT;Qian, Nanxiu;4:00PM - 6:50PM W RZR 3042-MAY-2018 9:00AM - 12:00PM W TBA TBAScheduled Final Exam-OTR Room;3
20985;CLAS 108 001;Full Term;ROMAN CIVILIZATION &ITS LEGACY;McGill, Scott C.;1:00PM - 1:50PM MWF HRG 1001-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;3
20680;CLAS 235 001;Full Term;CLASSICAL MYTHOLOGY;Mackie, Hilary S.;3:00PM - 3:50PM MWF RZR 3051-MAY-2018 2:00PM - 5:00PM T TBA TBANo Final Exam;3
21764;CLAS 301 001;Full Term;ANCIENT & MEDIEVAL PHILOSOPHY;Siewert, Charles;1:00PM - 1:50PM MWF HUM 1181-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
25380;CLAS 316 002;Full Term;DEMOCRACY & POLITICAL THEORY;Yunis, Harvey;2:30PM - 3:45PM TR RZR 20430-APR-2018 2:00PM - 5:00PM M TBA TBATake-Home Exam;3
25095;CLAS 319 001;Full Term;ANCIENTS VERSUS MODERNS;Clark, Frederic N.;2:00PM - 4:50PM W TBA TBANo Final Exam;3
25090;CLAS 477 001;Full Term;ROMAN PROTESTS AND REBELLIONS;Langenfeld, Kathryn A.;10:50AM - 12:05PM TR TBA TBAScheduled Final Exam-OTR Room;3
25517;CLAS 492 001;Full Term;SPECIAL TOPICS;Somerville, Ted;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
22591;CLAS 494 001;Full Term;SENIOR THESIS;McGill, Scott C.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
25504;CLAS 494 002;Full Term;SENIOR THESIS;Somerville, Ted;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBANo Final Exam;3
25564;CLIC 007 001;2nd Half of Full Term;VISITING RESEARCH;Kley, Katharina;TBA TBANo Final Exam;0
25115;CLIC 385 001;Full Term;INDEPENDENT STUDY;White, Alicia K.;TBA TBA2-MAY-2018 7:00PM - 10:00PM W TBA TBAScheduled Final Exam-Dept Room;1 TO 3
24802;CMST 202 001;Full Term;HISTORY OF CINEMA AND MEDIA II;Oukaderova, Lida;9:25AM - 10:40AM TR HRG 12628-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-Dept Room;3
20352;ENGL 200 002;Full Term;CRITICAL READING AND WRITING;Johnson, Amanda L.;1:00PM - 2:15PM TR BKH 10227-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
20967;ENGL 200 003;Full Term;CRITICAL READING AND WRITING;Regier, Alexander;9:25AM - 10:40AM TR HUM 32828-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
23849;ENGL 245 001;Full Term;A BRIEF HISTORY OF MADNESS;Kozicki, Benjamin J.;11:00AM - 11:50AM MWF BKH 11625-APR-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
24808;ENGL 274 001;Full Term;HEAV,HELL,DANTE,MILTON,BEYOND;Campana, Joseph A.;10:50AM - 12:05PM TR MCA 23726-APR-2018 9:00AM - 12:00PM R TBA TBATake-Home Exam;3
20215;ENGL 300 001;Full Term;PRACTICES OF LITERARY STUDY;Hennessy, Rosemary;10:50AM - 12:05PM TR HUM 22726-APR-2018 9:00AM - 12:00PM R TBA TBANo Final Exam;3
20779;ENGL 300 002;Full Term;PRACTICES OF LITERARY STUDY;Derrick, Scott S.;1:00PM - 2:15PM TR MCA 23727-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
20539;ENGL 301 001;Full Term;INTRO TO FICTION WRITING;Schimmel, Ian B.;5:00PM - 7:50PM M WSC 14626-APR-2018 2:00PM - 5:00PM R TBA TBANo Final Exam;3
21052;ENGL 302 001;Full Term;SCREENWRITING;Dermont, Amber P.;2:30PM - 5:00PM T MCA 2102-MAY-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
24960;ENGL 304 001;Full Term;POETRY WKSP: UNSETTLING HABITS;Charara, Hayan;2:00PM - 3:15PM MW RZR 1061-MAY-2018 2:00PM - 5:00PM T TBA TBANo Final Exam;3
23851;ENGL 306 001;Full Term;FAIRY TALE/FANTASY/SCI-FI WKSP;Dermont, Amber P.;3:00PM - 5:30PM W MCA 21029-APR-2018 2:00PM - 5:00PM U TBA TBANo Final Exam;3
24049;ENGL 309 001;Full Term;NONFICTION NATURE WRITING;Johnson, Lacy M.;1:00PM - 3:50PM T MCA 10327-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
25102;ENGL 309 002;Full Term;INTRO TO PODCASTING;Schimmel, Ian B.;2:30PM - 5:20PM W WSC 14628-APR-2018 2:00PM - 5:00PM S TBA TBANo Final Exam;3
24809;ENGL 316 001;Full Term;CHAUCER;Houlik-Ritchey, Emily M.;10:50AM - 12:05PM TR HRG 12526-APR-2018 9:00AM - 12:00PM R TBA TBANo Final Exam;3
21292;ENGL 321 001;Full Term;EARLY SHAKESPEARE;Skura, Meredith A.;9:25AM - 10:40AM TR RZR 10628-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
24812;ENGL 323 001;Full Term;RENAISSANCE DRAMA;Skura, Meredith A.;2:30PM - 3:45PM TR BKH 23330-APR-2018 2:00PM - 5:00PM M TBA TBANo Final Exam;3
24998;ENGL 325 001;Full Term;STUDY ABROAD: RICE AT EXETER;;No Final Exam;3
23857;ENGL 354 001;Full Term;QUEER LITERARY CULTURES;Lamos, Colleen R.;11:00AM - 11:50AM MWF HRG 22425-APR-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
20439;ENGL 357 001;Full Term;ORIGINS OF THE POSTMODERN;Morris, Wesley A.;2:30PM - 3:45PM TR BKH 22930-APR-2018 2:00PM - 5:00PM M TBA TBANo Final Exam;3
24813;ENGL 359 001;Full Term;WRITING ON/OFF NEW ORLEANS;Browning, Logan D.;11:00AM - 11:50AM MWF HRG 12525-APR-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;3
20540;ENGL 361 001;Full Term;US LITERATURE CIVIL WAR TO WWI;Johnson, Amanda L.;4:00PM - 5:15PM TR BKH 23327-APR-2018 2:00PM - 5:00PM F TBA TBANo Final Exam;3
23859;ENGL 364 001;Full Term;MODERN AMERICAN POETRY;Morris, Wesley A.;9:25AM - 10:40AM TR RZR 11328-APR-2018 9:00AM - 12:00PM S TBA TBANo Final Exam;3
24814;ENGL 368 001;Full Term;LITERATURE & THE ENVIRONMENT;Morton, Timothy;1:00PM - 1:50PM MWF MCA 2371-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;3
22014;ENGL 371 001;Full Term;CHICANA FEMINISM;Valdez, Elena V.;1:00PM - 1:50PM MWF BKH 2291-MAY-2018 9:00AM - 12:00PM T TBA TBAScheduled Final Exam-OTR Room;3
24816;ENGL 374 001;Full Term;HOLLYWOOD CINEMA;Roof, Judith A.;4:00PM - 5:15PM TR BKH 22927-APR-2018 2:00PM - 5:00PM F TBA TBANo Final Exam;3
23860;ENGL 375 002;Full Term;FILM AND LITERATURE;Snow, Edward A.;1:00PM - 2:15PM TR HRG 22427-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;3
