CRN;Course;Session;Title;Instructor;Time/Location;Credits
23649;ASTR 201 001;Full Term;STARS, GALAXIES & THE UNIVERSE;Levy, Eugene H.;9:25AM - 10:40AM TR KCK 10028-APR-2018 9:00AM - 12:00PM S TBA TBATake-Home Exam;3
20010;ASTR 202 001;Full Term;EXPLORATN OF THE SOLAR SYSTEM;Bradshaw, Stephen;9:25AM - 10:40AM TR KWG 10028-APR-2018 9:00AM - 12:00PM S TBA TBAScheduled Final Exam-OTR Room;3
20011;ASTR 230 001;Full Term;ASTRONOMY LAB;Johns-Krull, Christopher M.;7:00PM - 7:50PM T HBH 25430-APR-2018 7:00PM - 10:00PM M TBA TBANo Final Exam;3
21968;ASTR 360 001;Full Term;INTRO ASTROPHYSIC-GALAXY&COSMO;Isella, Andrea;1:00PM - 2:15PM TR HBH 2127-APR-2018 9:00AM - 12:00PM F TBA TBAScheduled Final Exam-OTR Room;3
20012;ASTR 400 001;Full Term;UNDERGRADUATE RESEARCH SEMINAR;Hartigan, Patrick M.;12:00PM - 12:50PM W HBH 2272-MAY-2018 2:00PM - 5:00PM W TBA TBANo Final Exam;1
20013;ASTR 452 001;Full Term;ASTROPHYS II:GALAXY&COSMOLOGY;Amin, Mustafa A.;2:30PM - 3:45PM TR HBH 45330-APR-2018 2:00PM - 5:00PM M TBA TBAScheduled Final Exam-Dept Room;3
20014;ASTR 500 001;Full Term;GRADUATE RESEARCH SEMINAR;Hartigan, Patrick M.;12:00PM - 12:50PM W HBH 227GR Course-Dept Schedules Exam;1
24589;ASTR 503 001;Full Term;ASTRONOMY FOR TEACHERS;Reiff, Patricia H.;6:00PM - 8:50PM M HBH 223GR Course-Dept Schedules Exam;3
24590;ASTR 554 001;Full Term;ASTROPHYSICS OF THE SUN;Alexander, David;2:30PM - 3:45PM TR HBH 22GR Course-Dept Schedules Exam;3
24591;ASTR 600 001;Full Term;ASTROSTATISTICS;Hartigan, Patrick M.;10:50AM - 12:05PM TR TBA TBAGR Course-Dept Schedules Exam;3
24356;BIOC 007 001;1st Half of Full Term;VISITING RESEARCH;Zhong, Weiwei;TBA TBANo Final Exam;0
24357;BIOC 007 002;2nd Half of Full Term;VISITING RESEARCH;Zhong, Weiwei;TBA TBANo Final Exam;0
24523;BIOC 112 001;Full Term;INTRO BIOL RESEARCH CHALLENGES;Beason-Abmayr, K. Beth;1:00PM - 4:00PM R ABL 12625-APR-2018 2:00PM - 5:00PM W TBA TBANo Final Exam;1
20389;BIOC 115 001;2nd Half of Full Term;FRESHMAN BIOLOGY SEMINAR (BCB);Wright, Zachary J.;1:00PM - 2:15PM T GRB W100D27-APR-2018 9:00AM - 12:00PM F TBA TBANo Final Exam;1
20390;BIOC 115 002;2nd Half of Full Term;FRESHMAN BIOLOGY SEMINAR (BCB);Alnahhas, Razan N.;2:30PM - 3:45PM T GRB W100D2-MAY-2018 9:00AM - 12:00PM W TBA TBANo Final Exam;1
24524;BIOC 122 001;Full Term;BIOLOGY FOR VOTERS;Caprette, David;10:50AM - 12:05PM TR ABL 12426-APR-2018 9:00AM - 12:00PM R TBA TBAScheduled Final Exam-OTR Room;3
25133;BIOC 129 001;Full Term;BRAINSTEM;Flynn, Jonathan R.;2:50PM - 5:00PM R AEL B1335:30PM - 6:30PM M AEL B13326-APR-2018 2:00PM - 5:00PM R TBA TBANo Final Exam;1
20957;BIOC 201 S01;Full Term;INTRODUCTORY BIOLOGY;Thomas, Collin E.;9:00AM - 9:50AM MWF KWG 10026-APR-2018 2:00PM - 5:00PM R TBA TBAScheduled Final Exam-OTR Room;3
20546;BIOC 211 001;Full Term;EXPERIMENTAL BIOSCIENCES;Catanese, Daniel J.Thomas, Collin E.;1:00PM - 4:50PM M ABL 1281-MAY-2018 9:00AM - 12:00PM T TBA TBANo Final Exam;2
